zone_id,week,zone_type,population_density,road_capacity,effective_road_capacity,vehicle_density,traffic_pressure,congestion,average_speed,red_light_violations,weather,road_condition,special_event,incident_count,incident_occurred
Zone_24,1,Commercial_Downtown,8634,99,99.0,40.0,0.404,18.71,60.2,4,Normal,Good,0,0,0
Zone_25,1,Residential,10790,71,71.0,31.79,0.448,18.8,60.47,2,Normal,Good,0,0,0
Zone_26,1,University_District,7678,75,75.0,29.03,0.387,15.24,61.11,2,Normal,Good,0,0,0
Zone_27,1,Suburban_LowDensity,4357,81,81.0,17.28,0.213,5.97,64.41,0,Normal,Good,0,0,0
Zone_28,1,Highway_Junction,1845,83,83.0,6.28,0.076,6.67,66.49,3,Normal,Good,0,1,1
Zone_29,1,Residential,13450,94,77.83,41.33,0.531,27.09,53.43,5,Light Rain,Moderate,0,0,0
Zone_30,1,Highway_Junction,2448,66,66.0,4.35,0.066,4.82,64.97,1,Normal,Good,0,1,1
Zone_31,1,Commercial_Downtown,9364,45,45.0,44.45,0.988,63.73,43.3,15,Normal,Good,0,3,1
Zone_32,1,Commercial_Downtown,7248,81,81.0,38.83,0.479,20.89,58.34,7,Normal,Good,0,0,0
Zone_33,1,Commercial_Downtown,6945,63,63.0,32.49,0.516,26.98,58.66,4,Normal,Good,0,0,0
Zone_34,1,Industrial_Corridor,3320,51,51.0,14.34,0.281,11.91,62.18,1,Normal,Good,0,0,0
Zone_35,1,Residential,15280,95,95.0,39.28,0.413,18.58,61.4,4,Normal,Good,0,0,0
Zone_36,1,Residential,12737,62,51.34,42.68,0.831,55.4,39.23,6,Light Rain,Moderate,0,0,0
Zone_37,1,Residential,11474,92,92.0,34.52,0.375,11.32,65.41,3,Normal,Good,0,0,0
Zone_38,1,Commercial_Downtown,9035,94,94.0,41.66,0.443,17.21,61.87,4,Normal,Good,0,0,0
Zone_39,1,Industrial_Corridor,2566,44,44.0,13.15,0.299,13.21,62.84,1,Normal,Good,0,0,0
Zone_40,1,University_District,7930,55,55.0,40.59,0.738,42.01,53.73,6,Normal,Good,0,0,0
Zone_41,1,Highway_Junction,2549,42,42.0,8.99,0.214,10.67,64.52,4,Normal,Good,0,0,0
Zone_42,1,University_District,7369,58,58.0,28.81,0.497,23.78,59.4,4,Normal,Good,0,0,0
Zone_43,1,Commercial_Downtown,3988,78,78.0,20.64,0.265,11.55,63.98,5,Normal,Good,0,0,0
Zone_44,1,Suburban_LowDensity,3720,70,70.0,13.67,0.195,11.81,66.07,4,Normal,Good,0,0,0
Zone_45,1,Highway_Junction,2987,87,87.0,8.18,0.094,7.24,64.34,4,Normal,Good,0,0,0
Zone_46,1,University_District,8049,51,51.0,41.53,0.814,50.93,51.46,5,Normal,Good,0,0,0
Zone_47,1,University_District,8056,58,58.0,42.68,0.736,38.08,60.39,3,Normal,Good,0,0,0
Zone_48,1,Industrial_Corridor,3999,72,72.0,17.98,0.25,15.42,59.83,2,Normal,Good,0,0,0
Zone_49,1,University_District,11539,59,59.0,56.46,0.957,57.89,47.99,3,Normal,Good,0,0,0
Zone_50,1,University_District,11592,68,68.0,51.93,0.764,42.26,52.53,4,Normal,Good,0,0,0
Zone_01,2,Commercial_Downtown,8726,60,60.0,54.46,0.908,53.16,49.92,9,Normal,Good,0,0,0
Zone_02,2,Residential,12426,92,92.0,29.78,0.324,15.01,60.77,1,Normal,Good,0,0,0
Zone_03,2,University_District,7685,63,63.0,42.84,0.68,31.87,57.08,2,Normal,Good,0,0,0
Zone_04,2,Highway_Junction,2415,72,72.0,8.83,0.123,10.6,67.23,6,Normal,Good,0,0,0
Zone_05,2,Commercial_Downtown,8343,66,66.0,29.94,0.454,21.22,59.29,10,Normal,Good,0,0,0
Zone_06,2,University_District,8747,86,86.0,26.11,0.304,16.02,63.53,8,Normal,Good,0,0,0
Zone_07,2,University_District,7267,42,42.0,30.85,0.735,38.52,55.76,6,Normal,Good,0,0,0
Zone_08,2,Highway_Junction,2040,43,43.0,14.51,0.337,13.22,64.24,4,Normal,Good,0,0,0
Zone_09,2,Suburban_LowDensity,3241,92,92.0,4.78,0.052,2.86,67.75,1,Normal,Good,0,0,0
Zone_10,2,Residential,15099,47,47.0,38.17,0.812,46.23,52.13,6,Normal,Good,0,0,0
Zone_11,2,Residential,9955,43,43.0,28.87,0.671,32.99,54.86,7,Normal,Good,0,0,0
Zone_12,2,Commercial_Downtown,8725,68,68.0,49.34,0.726,39.02,55.82,9,Normal,Good,0,0,0
Zone_13,2,Suburban_LowDensity,1361,75,75.0,3.65,0.049,11.9,60.57,3,Normal,Good,0,0,0
Zone_14,2,University_District,10551,99,81.97,53.79,0.656,36.71,47.57,8,Light Rain,Moderate,0,0,0
Zone_15,2,Residential,14863,86,86.0,44.74,0.52,23.62,59.77,4,Normal,Good,0,0,0
Zone_16,2,Highway_Junction,1963,84,84.0,5.92,0.07,4.19,65.66,1,Normal,Good,0,0,0
Zone_17,2,Residential,8064,48,48.0,10.62,0.221,14.08,60.77,3,Normal,Good,0,0,0
Zone_18,2,Industrial_Corridor,3295,90,90.0,14.79,0.164,10.07,63.55,3,Normal,Good,0,0,0
Zone_19,2,Industrial_Corridor,4136,81,67.07,17.17,0.256,10.16,59.94,1,Light Rain,Moderate,0,0,0
Zone_20,2,Commercial_Downtown,3700,73,73.0,26.01,0.356,16.15,61.74,6,Normal,Good,0,0,0
Zone_21,2,Residential,11645,74,74.0,34.59,0.467,23.41,60.14,5,Normal,Good,0,0,0
Zone_22,2,University_District,7570,76,76.0,32.55,0.428,17.99,60.5,5,Normal,Good,0,0,0
Zone_23,2,Suburban_LowDensity,2228,53,53.0,3.15,0.059,2.1,65.1,2,Normal,Good,0,0,0
Zone_24,2,Commercial_Downtown,8634,99,81.97,30.25,0.369,16.07,53.45,2,Light Rain,Moderate,0,0,0
Zone_25,2,Residential,10790,71,71.0,27.94,0.394,19.92,60.27,2,Normal,Good,0,0,0
Zone_26,2,University_District,7678,75,75.0,35.2,0.469,21.6,63.56,5,Normal,Good,0,0,0
Zone_27,2,Suburban_LowDensity,4357,81,81.0,9.46,0.117,5.78,62.52,4,Normal,Good,0,0,0
Zone_28,2,Highway_Junction,1845,83,83.0,12.89,0.155,9.47,62.02,2,Normal,Good,0,0,0
Zone_29,2,Residential,13450,94,94.0,39.23,0.417,17.0,61.44,2,Normal,Good,0,0,0
Zone_30,2,Highway_Junction,2448,66,66.0,8.06,0.122,6.2,65.46,1,Normal,Good,0,0,0
Zone_31,2,Commercial_Downtown,9364,45,45.0,54.29,1.206,75.21,36.06,5,Normal,Good,0,3,1
Zone_32,2,Commercial_Downtown,7248,81,81.0,44.47,0.549,26.71,60.11,5,Normal,Good,0,0,0
Zone_33,2,Commercial_Downtown,6945,63,63.0,30.88,0.49,26.61,56.63,8,Normal,Good,0,0,0
Zone_34,2,Industrial_Corridor,3320,51,42.23,12.39,0.293,11.7,54.24,4,Light Rain,Moderate,0,0,0
Zone_35,2,Residential,15280,95,78.66,48.68,0.619,38.82,47.07,3,Light Rain,Moderate,0,0,0
Zone_36,2,Residential,12737,62,62.0,50.24,0.81,45.67,52.4,8,Normal,Good,0,0,0
Zone_37,2,Residential,11474,92,76.18,28.45,0.373,18.27,55.3,1,Light Rain,Moderate,0,0,0
Zone_38,2,Commercial_Downtown,9035,94,94.0,37.83,0.402,15.15,63.68,3,Normal,Good,0,0,0
Zone_39,2,Industrial_Corridor,2566,44,44.0,17.92,0.407,21.97,60.76,6,Normal,Good,0,0,0
Zone_40,2,University_District,7930,55,55.0,36.79,0.669,35.02,55.38,6,Normal,Good,0,0,0
Zone_41,2,Highway_Junction,2549,42,42.0,6.79,0.162,8.58,61.26,2,Normal,Good,0,0,0
Zone_42,2,University_District,7369,58,58.0,23.77,0.41,17.37,60.82,6,Normal,Good,0,0,0
Zone_43,2,Commercial_Downtown,3988,78,78.0,17.74,0.227,10.94,65.91,6,Normal,Good,0,0,0
Zone_44,2,Suburban_LowDensity,3720,70,70.0,14.35,0.205,8.24,66.68,2,Normal,Good,0,0,0
Zone_45,2,Highway_Junction,2987,87,72.04,5.33,0.074,7.12,58.83,3,Light Rain,Moderate,0,0,0
Zone_46,2,University_District,8049,51,51.0,48.59,0.953,62.49,42.33,7,Normal,Good,0,0,0
Zone_47,2,University_District,8056,58,58.0,35.78,0.617,27.9,60.75,6,Normal,Good,0,0,0
Zone_48,2,Industrial_Corridor,3999,72,59.62,11.28,0.189,12.28,55.1,3,Light Rain,Moderate,0,1,1
Zone_49,2,University_District,11539,59,59.0,49.93,0.846,50.94,45.89,3,Normal,Good,0,0,0
Zone_50,2,University_District,11592,68,68.0,51.15,0.752,40.7,52.41,6,Normal,Good,0,0,0
Zone_01,3,Commercial_Downtown,8726,60,60.0,54.09,0.902,55.63,48.14,13,Normal,Good,0,1,1
Zone_02,3,Residential,12426,92,92.0,36.7,0.399,17.4,60.76,3,Normal,Good,0,0,0
Zone_03,3,University_District,7685,63,63.0,43.08,0.684,41.31,55.05,3,Normal,Good,0,0,0
Zone_04,3,Highway_Junction,2415,72,72.0,14.81,0.206,11.8,68.53,5,Normal,Good,0,0,0
Zone_05,3,Commercial_Downtown,8343,66,66.0,22.16,0.336,13.49,65.38,5,Normal,Good,0,0,0
Zone_06,3,University_District,8747,86,86.0,24.37,0.283,11.51,60.43,1,Normal,Good,0,0,0
Zone_07,3,University_District,7267,42,42.0,31.32,0.746,43.15,51.29,8,Normal,Good,0,0,0
Zone_08,3,Highway_Junction,2040,43,43.0,7.86,0.183,9.0,62.7,2,Normal,Good,0,0,0
Zone_09,3,Suburban_LowDensity,3241,92,92.0,11.11,0.121,8.79,61.67,3,Normal,Good,0,0,0
Zone_10,3,Residential,15099,47,47.0,43.31,0.921,57.19,48.98,4,Normal,Good,0,0,0
Zone_11,3,Residential,9955,43,43.0,22.69,0.528,25.41,57.11,2,Normal,Good,0,0,0
Zone_12,3,Commercial_Downtown,8725,68,56.3,46.59,0.828,52.13,44.24,6,Light Rain,Moderate,0,3,1
Zone_13,3,Suburban_LowDensity,1361,75,75.0,0.0,0.0,9.22,60.89,3,Normal,Good,0,0,0
Zone_14,3,University_District,10551,99,99.0,54.62,0.552,22.73,57.89,2,Normal,Good,0,0,0
Zone_15,3,Residential,14863,86,86.0,46.04,0.535,25.83,60.45,4,Normal,Good,0,0,0
Zone_16,3,Highway_Junction,1963,84,84.0,0.0,0.0,4.02,63.15,2,Normal,Good,0,0,0
Zone_17,3,Residential,8064,48,48.0,14.79,0.308,19.84,60.2,2,Normal,Good,0,0,0
Zone_18,3,Industrial_Corridor,3295,90,90.0,10.68,0.119,9.71,64.18,2,Normal,Good,0,0,0
Zone_19,3,Industrial_Corridor,4136,81,81.0,26.46,0.327,16.14,62.43,2,Normal,Good,0,0,0
Zone_20,3,Commercial_Downtown,3700,73,73.0,25.57,0.35,15.76,60.56,5,Normal,Good,0,0,0
Zone_21,3,Residential,11645,74,74.0,30.93,0.418,19.59,62.5,1,Normal,Good,0,0,0
Zone_22,3,University_District,7570,76,76.0,35.28,0.464,21.58,59.53,1,Normal,Good,0,1,1
Zone_23,3,Suburban_LowDensity,2228,53,53.0,7.96,0.15,3.44,63.59,2,Normal,Good,0,0,0
Zone_24,3,Commercial_Downtown,8634,99,99.0,30.92,0.312,15.98,62.79,4,Normal,Good,0,0,0
Zone_25,3,Residential,10790,71,71.0,31.63,0.445,22.0,59.3,4,Normal,Good,0,0,0
Zone_26,3,University_District,7678,75,75.0,32.58,0.434,18.6,63.54,3,Normal,Good,0,0,0
Zone_27,3,Suburban_LowDensity,4357,81,81.0,4.36,0.054,7.54,61.34,2,Normal,Good,0,0,0
Zone_28,3,Highway_Junction,1845,83,83.0,8.47,0.102,8.67,65.56,5,Normal,Good,0,0,0
Zone_29,3,Residential,13450,94,94.0,41.09,0.437,19.31,62.33,4,Normal,Good,0,0,0
Zone_30,3,Highway_Junction,2448,66,66.0,8.0,0.121,8.39,65.09,2,Normal,Good,0,0,0
Zone_31,3,Commercial_Downtown,9364,45,45.0,52.59,1.169,74.67,38.28,9,Normal,Good,0,0,0
Zone_32,3,Commercial_Downtown,7248,81,81.0,41.34,0.51,23.67,59.52,4,Normal,Good,0,0,0
Zone_33,3,Commercial_Downtown,6945,63,63.0,42.01,0.667,35.97,55.86,4,Normal,Good,0,0,0
Zone_34,3,Industrial_Corridor,3320,51,51.0,11.63,0.228,15.88,59.65,3,Normal,Good,0,0,0
Zone_35,3,Residential,15280,95,95.0,49.18,0.518,28.42,60.07,3,Normal,Good,0,0,0
Zone_36,3,Residential,12737,62,51.34,46.36,0.903,62.37,36.15,6,Light Rain,Moderate,0,0,0
Zone_37,3,Residential,11474,92,92.0,25.76,0.28,12.0,65.22,3,Normal,Good,0,0,0
Zone_38,3,Commercial_Downtown,9035,94,94.0,46.52,0.495,20.87,61.2,7,Normal,Good,0,0,0
Zone_39,3,Industrial_Corridor,2566,44,44.0,19.45,0.442,21.95,59.9,2,Normal,Good,0,0,0
Zone_40,3,University_District,7930,55,55.0,34.96,0.636,31.65,56.25,5,Normal,Good,0,0,0
Zone_41,3,Highway_Junction,2549,42,42.0,7.81,0.186,7.8,66.68,0,Normal,Good,0,0,0
Zone_42,3,University_District,7369,58,58.0,28.69,0.495,20.96,61.39,2,Normal,Good,0,0,0
Zone_43,3,Commercial_Downtown,3988,78,78.0,15.08,0.193,9.26,64.58,4,Normal,Good,0,0,0
Zone_44,3,Suburban_LowDensity,3720,70,70.0,12.79,0.183,5.93,65.45,4,Normal,Good,0,0,0
Zone_45,3,Highway_Junction,2987,87,87.0,4.39,0.05,0.63,60.07,3,Normal,Good,0,0,0
Zone_46,3,University_District,8049,51,51.0,44.32,0.869,49.12,50.35,1,Normal,Good,0,1,1
Zone_47,3,University_District,8056,58,58.0,38.63,0.666,33.12,56.33,3,Normal,Good,0,0,0
Zone_48,3,Industrial_Corridor,3999,72,59.62,17.23,0.289,19.56,50.44,2,Light Rain,Moderate,0,0,0
Zone_49,3,University_District,11539,59,59.0,57.86,0.981,59.99,46.91,6,Normal,Good,0,0,0
Zone_50,3,University_District,11592,68,68.0,49.68,0.731,44.06,52.91,8,Normal,Good,0,0,0
Zone_01,4,Commercial_Downtown,8726,60,60.0,53.98,0.9,52.0,48.92,10,Normal,Good,0,0,0
Zone_02,4,Residential,12426,92,92.0,40.72,0.443,22.04,58.31,5,Normal,Good,0,1,1
Zone_03,4,University_District,7685,63,63.0,43.59,0.692,35.72,54.09,3,Normal,Good,0,0,0
Zone_04,4,Highway_Junction,2415,72,59.62,18.71,0.314,13.81,52.68,6,Light Rain,Moderate,0,0,0
Zone_05,4,Commercial_Downtown,8343,66,66.0,39.51,0.599,30.3,57.25,10,Normal,Good,0,1,1
Zone_06,4,University_District,8747,86,86.0,24.84,0.289,13.83,61.28,0,Normal,Good,0,0,0
Zone_07,4,University_District,7267,42,42.0,32.68,0.778,43.73,50.29,7,Normal,Good,0,0,0
Zone_08,4,Highway_Junction,2040,43,43.0,0.02,0.0,5.68,63.13,5,Normal,Good,0,0,0
Zone_09,4,Suburban_LowDensity,3241,92,92.0,7.21,0.078,8.43,63.08,0,Normal,Good,0,0,0
Zone_10,4,Residential,15099,47,47.0,47.44,1.009,62.28,43.88,7,Normal,Good,0,0,0
Zone_11,4,Residential,9955,43,43.0,22.87,0.532,22.47,57.57,2,Normal,Good,0,0,0
Zone_12,4,Commercial_Downtown,8725,68,68.0,46.63,0.686,35.63,56.26,12,Normal,Good,0,1,1
Zone_13,4,Suburban_LowDensity,1361,75,62.1,0.0,0.0,7.22,57.25,1,Light Rain,Moderate,0,0,0
Zone_14,4,University_District,10551,99,99.0,46.93,0.474,18.6,63.31,2,Normal,Good,0,0,0
Zone_15,4,Residential,14863,86,86.0,41.42,0.482,24.19,59.29,2,Normal,Good,0,0,0
Zone_16,4,Highway_Junction,1963,84,69.55,0.0,0.0,6.5,55.91,2,Light Rain,Moderate,0,0,0
Zone_17,4,Residential,8064,48,48.0,23.17,0.483,21.61,62.72,1,Normal,Good,0,0,0
Zone_18,4,Industrial_Corridor,3295,90,90.0,6.45,0.072,4.29,65.09,1,Normal,Good,0,0,0
Zone_19,4,Industrial_Corridor,4136,81,67.07,23.05,0.344,15.81,53.5,3,Light Rain,Moderate,0,0,0
Zone_20,4,Commercial_Downtown,3700,73,73.0,33.26,0.456,18.98,63.05,4,Normal,Good,0,0,0
Zone_21,4,Residential,11645,74,74.0,29.86,0.404,17.69,62.83,4,Normal,Good,0,1,1
Zone_22,4,University_District,7570,76,62.93,37.51,0.596,33.0,47.83,6,Light Rain,Moderate,0,0,0
Zone_23,4,Suburban_LowDensity,2228,53,53.0,9.52,0.18,10.62,64.63,2,Normal,Good,0,0,0
Zone_24,4,Commercial_Downtown,8634,99,99.0,33.72,0.341,17.18,63.52,6,Normal,Good,0,0,0
Zone_25,4,Residential,10790,71,71.0,33.94,0.478,19.33,61.25,6,Normal,Good,0,0,0
Zone_26,4,University_District,7678,75,75.0,30.86,0.411,19.92,63.1,1,Normal,Good,0,0,0
Zone_27,4,Suburban_LowDensity,4357,81,81.0,6.88,0.085,4.89,64.83,0,Normal,Good,0,0,0
Zone_28,4,Highway_Junction,1845,83,83.0,14.18,0.171,10.18,63.12,4,Normal,Good,0,0,0
Zone_29,4,Residential,13450,94,94.0,41.86,0.445,14.88,64.39,1,Normal,Good,0,0,0
Zone_30,4,Highway_Junction,2448,66,66.0,9.32,0.141,11.14,61.35,5,Normal,Good,0,0,0
Zone_31,4,Commercial_Downtown,9364,45,45.0,49.69,1.104,72.2,37.63,10,Normal,Good,0,0,0
Zone_32,4,Commercial_Downtown,7248,81,81.0,52.11,0.643,28.61,57.05,7,Normal,Good,0,0,0
Zone_33,4,Commercial_Downtown,6945,63,63.0,39.93,0.634,29.45,56.77,7,Normal,Good,0,0,0
Zone_34,4,Industrial_Corridor,3320,51,51.0,18.83,0.369,20.22,59.54,0,Normal,Good,0,0,0
Zone_35,4,Residential,15280,95,95.0,48.65,0.512,23.08,58.81,3,Normal,Good,0,0,0
Zone_36,4,Residential,12737,62,62.0,43.61,0.703,32.98,61.31,7,Normal,Good,0,0,0
Zone_37,4,Residential,11474,92,92.0,28.9,0.314,17.4,59.57,2,Normal,Good,0,0,0
Zone_38,4,Commercial_Downtown,9035,94,94.0,51.2,0.545,28.12,58.29,10,Normal,Good,0,1,1
Zone_39,4,Industrial_Corridor,2566,44,44.0,12.61,0.287,13.31,63.34,2,Normal,Good,0,0,0
Zone_40,4,University_District,7930,55,55.0,40.26,0.732,37.28,58.77,2,Normal,Good,0,2,1
Zone_41,4,Highway_Junction,2549,42,34.78,6.43,0.185,12.14,52.7,5,Light Rain,Moderate,0,0,0
Zone_42,4,University_District,7369,58,58.0,30.2,0.521,23.75,59.85,1,Normal,Good,0,0,0
Zone_43,4,Commercial_Downtown,3988,78,78.0,12.82,0.164,10.32,64.45,6,Normal,Good,0,0,0
Zone_44,4,Suburban_LowDensity,3720,70,70.0,5.87,0.084,7.3,64.3,1,Normal,Good,0,0,0
Zone_45,4,Highway_Junction,2987,87,87.0,2.55,0.029,8.12,62.15,6,Normal,Good,0,0,0
Zone_46,4,University_District,8049,51,51.0,42.11,0.826,48.31,52.69,8,Normal,Good,0,0,0
Zone_47,4,University_District,8056,58,58.0,38.57,0.665,37.03,54.32,3,Normal,Good,0,0,0
Zone_48,4,Industrial_Corridor,3999,72,72.0,15.53,0.216,6.02,64.14,2,Normal,Good,0,0,0
Zone_49,4,University_District,11539,59,59.0,56.5,0.958,59.87,42.09,8,Normal,Good,0,0,0
Zone_50,4,University_District,11592,68,68.0,52.08,0.766,42.05,57.64,1,Normal,Good,0,0,0
Zone_01,5,Commercial_Downtown,8726,60,60.0,53.13,0.886,56.71,47.87,9,Normal,Good,0,0,0
Zone_02,5,Residential,12426,92,92.0,39.26,0.427,17.95,60.78,1,Normal,Good,0,0,0
Zone_03,5,University_District,7685,63,63.0,34.73,0.551,26.93,55.79,2,Normal,Good,0,0,0
Zone_04,5,Highway_Junction,2415,72,72.0,18.35,0.255,8.61,66.8,7,Normal,Good,0,0,0
Zone_05,5,Commercial_Downtown,8343,66,66.0,40.78,0.618,32.65,56.88,5,Normal,Good,0,0,0
Zone_06,5,University_District,8747,86,86.0,32.8,0.381,21.85,58.92,5,Normal,Good,0,0,0
Zone_07,5,University_District,7267,42,42.0,37.3,0.888,54.53,47.97,7,Normal,Good,0,1,1
Zone_08,5,Highway_Junction,2040,43,43.0,0.0,0.0,8.4,64.84,4,Normal,Good,0,0,0
Zone_09,5,Suburban_LowDensity,3241,92,92.0,8.27,0.09,8.74,59.31,1,Normal,Good,0,0,0
Zone_10,5,Residential,15099,47,47.0,48.68,1.036,65.0,41.04,4,Normal,Good,0,2,1
Zone_11,5,Residential,9955,43,43.0,20.92,0.487,26.47,60.57,3,Normal,Good,0,0,0
Zone_12,5,Commercial_Downtown,8725,68,68.0,49.51,0.728,40.83,55.71,6,Normal,Good,0,0,0
Zone_13,5,Suburban_LowDensity,1361,75,75.0,0.0,0.0,3.22,66.22,0,Normal,Good,0,0,0
Zone_14,5,University_District,10551,99,99.0,63.05,0.637,28.98,61.92,1,Normal,Good,0,1,1
Zone_15,5,Residential,14863,86,86.0,49.54,0.576,23.47,61.66,3,Normal,Good,0,0,0
Zone_16,5,Highway_Junction,1963,84,84.0,3.91,0.047,3.95,63.86,5,Normal,Good,0,0,0
Zone_17,5,Residential,8064,48,48.0,20.69,0.431,22.15,61.23,3,Normal,Good,0,0,0
Zone_18,5,Industrial_Corridor,3295,90,90.0,8.15,0.091,6.24,61.57,2,Normal,Good,0,0,0
Zone_19,5,Industrial_Corridor,4136,81,67.07,24.33,0.363,19.81,54.63,2,Light Rain,Moderate,0,0,0
Zone_20,5,Commercial_Downtown,3700,73,73.0,31.36,0.43,13.8,66.74,3,Normal,Good,0,0,0
Zone_21,5,Residential,11645,74,61.27,35.93,0.586,32.06,50.81,7,Light Rain,Moderate,0,1,1
Zone_22,5,University_District,7570,76,76.0,29.35,0.386,15.96,62.27,1,Normal,Good,0,0,0
Zone_23,5,Suburban_LowDensity,2228,53,53.0,0.0,0.0,5.6,63.64,2,Normal,Good,0,0,0
Zone_24,5,Commercial_Downtown,8634,99,99.0,39.77,0.402,20.29,58.42,3,Normal,Good,0,0,0
Zone_25,5,Residential,10790,71,71.0,32.49,0.458,20.68,61.63,1,Normal,Good,0,0,0
Zone_26,5,University_District,7678,75,75.0,39.66,0.529,19.76,60.41,3,Normal,Good,0,0,0
Zone_27,5,Suburban_LowDensity,4357,81,81.0,10.43,0.129,11.05,63.15,3,Normal,Good,0,0,0
Zone_28,5,Highway_Junction,1845,83,83.0,13.15,0.158,7.94,64.8,4,Normal,Good,0,0,0
Zone_29,5,Residential,13450,94,94.0,35.28,0.375,18.31,60.45,0,Normal,Good,0,0,0
Zone_30,5,Highway_Junction,2448,66,66.0,12.0,0.182,9.01,65.34,3,Normal,Good,0,0,0
Zone_31,5,Commercial_Downtown,9364,45,45.0,49.14,1.092,69.38,43.06,9,Normal,Good,0,0,0
Zone_32,5,Commercial_Downtown,7248,81,67.07,49.01,0.731,44.9,41.7,7,Light Rain,Moderate,0,0,0
Zone_33,5,Commercial_Downtown,6945,63,63.0,38.54,0.612,28.12,57.94,6,Normal,Good,0,0,0
Zone_34,5,Industrial_Corridor,3320,51,51.0,19.87,0.39,21.7,57.2,0,Normal,Good,0,0,0
Zone_35,5,Residential,15280,95,78.66,57.38,0.729,42.24,42.53,4,Light Rain,Moderate,0,0,0
Zone_36,5,Residential,12737,62,62.0,45.71,0.737,44.18,50.89,5,Normal,Good,0,0,0
Zone_37,5,Residential,11474,92,92.0,31.66,0.344,18.55,61.57,3,Normal,Good,0,0,0
Zone_38,5,Commercial_Downtown,9035,94,77.83,45.88,0.589,28.01,51.01,6,Light Rain,Moderate,0,0,0
Zone_39,5,Industrial_Corridor,2566,44,44.0,3.38,0.077,6.96,63.25,1,Normal,Good,0,0,0
Zone_40,5,University_District,7930,55,55.0,43.97,0.799,45.12,53.92,6,Normal,Good,0,0,0
Zone_41,5,Highway_Junction,2549,42,42.0,0.17,0.004,9.4,62.59,3,Normal,Good,0,0,0
Zone_42,5,University_District,7369,58,58.0,31.2,0.538,23.2,61.25,3,Normal,Good,0,0,0
Zone_43,5,Commercial_Downtown,3988,78,78.0,7.2,0.092,7.95,63.27,6,Normal,Good,0,0,0
Zone_44,5,Suburban_LowDensity,3720,70,70.0,8.78,0.125,7.13,64.48,3,Normal,Good,0,0,0
Zone_45,5,Highway_Junction,2987,87,72.04,4.04,0.056,2.47,59.61,5,Light Rain,Moderate,0,0,0
Zone_46,5,University_District,8049,51,51.0,32.25,0.632,33.68,59.09,4,Normal,Good,0,0,0
Zone_47,5,University_District,8056,58,58.0,34.16,0.589,27.51,56.79,8,Normal,Good,0,0,0
Zone_48,5,Industrial_Corridor,3999,72,72.0,25.32,0.352,18.98,60.89,4,Normal,Good,0,0,0
