zone_id,week,zone_type,temporal_profile,population_density,road_capacity,effective_road_capacity,vehicle_density,traffic_pressure,congestion,average_speed,red_light_violations,weather,road_condition,special_event,incident_count,incident_occurred,previous_week_vehicle_density,previous_week_congestion,previous_week_average_speed,previous_week_red_light_violations,previous_week_incident_count,previous_week_incident_occurred,previous_week_traffic_pressure,rolling_4_week_avg_vehicle_density,rolling_4_week_avg_congestion,rolling_4_week_avg_speed,rolling_4_week_avg_violations,rolling_4_week_incident_count,rolling_4_week_incident_rate,rolling_4_week_avg_traffic_pressure,vehicle_density_change,congestion_change,speed_change,violations_change,traffic_pressure_change,incident_count_change,vehicle_density_pct_change,congestion_pct_change,speed_pct_change,vehicle_population_ratio,congestion_trend_4w,vehicle_density_trend_4w,speed_trend_4w,incident_trend_4w
Zone_01,34,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.68,56.9,1.145,81.75,29.78,12,Light Rain,Moderate,0,0,0,55.12,78.54,30.47,14.0,2.0,1.0,1.11,59.99,84.94,26.24,10.5,7.0,0.75,1.277,1.78,3.21,-0.69,-2.0,0.035,0.0,3.23,4.09,-2.26,6.521,1.007,-3.396,-2.305,0.3
Zone_01,35,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,52.49,0.875,49.43,51.99,8,Normal,Good,0,0,0,56.9,81.75,29.78,12.0,0.0,0.0,1.145,57.78,87.45,23.13,12.0,7.0,0.75,1.29,-4.41,-32.32,22.21,-4.0,-0.27,-2.0,-7.75,-39.54,74.58,6.015,-6.573,-1.438,6.755,-0.3
Zone_01,36,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,52.64,0.877,49.94,51.46,8,Normal,Good,0,1,1,52.49,49.43,51.99,8.0,0.0,0.0,0.875,55.76,74.81,33.62,11.0,4.0,0.5,1.077,0.15,0.51,-0.53,0.0,0.002,0.0,0.29,1.03,-1.02,6.033,-11.706,-1.631,8.85,-0.4
Zone_01,37,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.68,55.71,1.121,84.32,26.59,9,Light Rain,Moderate,0,1,1,52.64,49.94,51.46,8.0,1.0,1.0,0.877,54.29,64.92,40.92,10.5,3.0,0.5,1.002,3.07,34.38,-24.87,1.0,0.244,1.0,5.83,68.84,-48.33,6.384,-11.812,-1.185,8.518,0.0
Zone_01,38,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,39.74,57.28,1.441,97.01,20.74,15,Light Rain,Moderate,1,2,1,55.71,84.32,26.59,9.0,1.0,1.0,1.121,54.43,66.36,39.96,9.25,2.0,0.5,1.004,1.57,12.69,-5.85,6.0,0.32,0.0,2.82,15.05,-22.0,6.564,0.822,-0.342,-1.01,0.4
Zone_01,39,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,48.0,62.25,1.297,81.15,36.74,15,Normal,Good,1,2,1,57.28,97.01,20.74,15.0,2.0,1.0,1.441,54.53,70.18,37.7,10.0,4.0,0.75,1.078,4.97,-15.86,16.0,0.0,-0.144,1.0,8.68,-16.35,77.15,7.134,17.712,1.744,-11.862,0.3
Zone_01,40,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,39.74,61.02,1.535,100.0,19.16,14,Light Rain,Moderate,1,1,1,62.25,81.15,36.74,15.0,2.0,1.0,1.297,56.97,78.1,33.88,11.75,6.0,1.0,1.184,-1.23,18.85,-17.58,-1.0,0.238,0.0,-1.98,23.23,-47.85,6.993,10.632,3.04,-5.001,0.0
Zone_01,41,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,56.07,0.934,54.92,48.11,8,Normal,Good,0,2,1,61.02,100.0,19.16,14.0,1.0,1.0,1.535,59.07,90.62,25.81,13.25,6.0,1.0,1.348,-4.95,-45.08,28.95,-6.0,-0.601,-1.0,-8.11,-45.08,151.1,6.426,3.118,2.09,-0.629,0.0
Zone_01,42,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,58.92,0.982,60.09,47.84,12,Normal,Good,0,1,1,56.07,54.92,48.11,8.0,2.0,1.0,0.934,59.16,83.27,31.19,13.0,7.0,1.0,1.302,2.85,5.17,-0.27,4.0,0.048,1.0,5.08,9.41,-0.56,6.752,-10.742,-0.486,6.453,0.0
Zone_01,43,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,54.52,0.909,56.75,47.43,5,Normal,Good,0,0,0,58.92,60.09,47.84,12.0,1.0,1.0,0.982,59.57,74.04,37.96,12.25,6.0,1.0,1.187,-4.4,-3.34,-0.41,-7.0,-0.073,-1.0,-7.47,-5.56,-0.86,6.248,-10.826,-1.494,6.225,0.0
Zone_01,44,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,48.22,0.804,50.99,49.16,9,Normal,Good,0,1,1,54.52,56.75,47.43,5.0,0.0,0.0,0.909,57.63,67.94,40.64,9.75,4.0,0.75,1.09,-6.3,-5.76,1.73,4.0,-0.105,-1.0,-11.56,-10.15,3.65,5.526,-12.458,-1.665,8.454,-0.3
Zone_01,45,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,50.81,0.847,49.65,52.55,8,Normal,Good,0,2,1,48.22,50.99,49.16,9.0,1.0,1.0,0.804,54.43,55.69,48.14,8.5,4.0,0.75,0.907,2.59,-1.34,3.39,-1.0,0.043,1.0,5.37,-2.63,6.9,5.823,-1.513,-2.795,0.274,-0.1
Zone_01,46,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,54.55,0.909,54.37,46.59,7,Normal,Good,0,0,0,50.81,49.65,52.55,8.0,2.0,1.0,0.847,53.12,54.37,49.24,8.5,4.0,0.75,0.886,3.74,4.72,-5.96,-1.0,0.062,1.0,7.36,9.51,-11.34,6.251,-3.708,-3.063,1.586,0.1
Zone_01,47,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,51.47,0.858,48.39,50.76,6,Normal,Good,0,0,0,54.55,54.37,46.59,7.0,0.0,0.0,0.909,52.02,52.94,48.93,7.25,3.0,0.5,0.867,-3.08,-5.98,4.17,-1.0,-0.051,-2.0,-5.65,-11.0,8.95,5.898,-0.848,0.268,0.087,0.0
Zone_01,48,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,50.45,0.841,47.1,53.43,9,Normal,Good,0,2,1,51.47,48.39,50.76,6.0,0.0,0.0,0.858,51.26,50.85,49.76,7.5,3.0,0.5,0.854,-1.02,-1.29,2.67,3.0,-0.017,0.0,-1.98,-2.67,5.26,5.782,-0.308,1.349,-0.116,-0.4
Zone_01,49,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,53.76,0.896,50.58,47.88,6,Normal,Good,0,0,0,50.45,47.1,53.43,9.0,2.0,1.0,0.841,51.82,49.88,50.83,7.5,4.0,0.5,0.864,3.31,3.48,-5.55,-3.0,0.055,2.0,6.56,7.39,-10.39,6.161,-1.363,-0.416,0.681,0.0
Zone_01,50,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,47.04,0.784,40.88,50.09,7,Normal,Good,0,0,0,53.76,50.58,47.88,6.0,0.0,0.0,0.896,52.56,50.11,49.66,7.0,2.0,0.25,0.876,-6.72,-9.7,2.21,1.0,-0.112,-2.0,-12.5,-19.18,4.62,5.391,-1.266,-0.339,0.654,0.1
Zone_01,51,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,43.82,0.73,39.49,51.05,7,Normal,Good,0,0,0,47.04,40.88,50.09,7.0,0.0,0.0,0.784,50.68,46.74,50.54,7.0,2.0,0.25,0.845,-3.22,-1.39,0.96,0.0,-0.054,0.0,-6.85,-3.4,1.92,5.022,-1.905,-0.998,-0.756,-0.1
Zone_01,52,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.68,45.39,0.914,60.3,40.72,9,Light Rain,Moderate,0,2,1,43.82,39.49,51.05,7.0,0.0,0.0,0.73,48.77,44.51,50.61,7.25,2.0,0.25,0.813,1.57,20.81,-10.33,2.0,0.184,0.0,3.58,52.7,-20.24,5.202,-3.253,-2.661,-0.493,-0.3
Zone_02,1,Residential,STABLE,12426,92,92.0,34.12,0.371,19.16,62.06,4,Normal,Good,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2.746,,,,
Zone_02,2,Residential,STABLE,12426,92,92.0,30.69,0.334,15.42,60.66,1,Normal,Good,0,0,0,34.12,19.16,62.06,4.0,0.0,0.0,0.371,,,,,,,,-3.43,-3.74,-1.4,-3.0,-0.037,,-10.05,-19.52,-2.26,2.47,,,,
Zone_02,3,Residential,STABLE,12426,92,92.0,34.73,0.377,17.98,61.61,6,Normal,Good,0,0,0,30.69,15.42,60.66,1.0,0.0,0.0,0.334,,,,,,,,4.04,2.56,0.95,5.0,0.043,0.0,13.16,16.6,1.57,2.795,,,,
Zone_02,4,Residential,STABLE,12426,92,92.0,42.39,0.461,20.37,62.26,1,Normal,Good,0,0,0,34.73,17.98,61.61,6.0,0.0,0.0,0.377,,,,,,,,7.66,2.39,0.65,-5.0,0.084,0.0,22.06,13.29,1.06,3.411,,,,
Zone_02,5,Residential,STABLE,12426,92,76.18,39.47,0.518,32.29,47.28,3,Light Rain,Moderate,0,0,0,42.39,20.37,62.26,1.0,0.0,0.0,0.461,35.48,18.23,61.65,3.0,0.0,0.0,0.386,-2.92,11.92,-14.98,2.0,0.057,0.0,-6.89,58.52,-24.06,3.176,0.619,2.885,0.155,0.0
Zone_02,6,Residential,STABLE,12426,92,92.0,44.68,0.486,16.94,57.64,2,Normal,Good,0,0,0,39.47,32.29,47.28,3.0,0.0,0.0,0.518,36.82,21.52,57.95,2.75,0.0,0.0,0.422,5.21,-15.35,10.36,-1.0,-0.032,0.0,13.2,-47.54,21.91,3.596,5.3,3.4,-3.949,0.0
Zone_02,7,Residential,STABLE,12426,92,92.0,41.85,0.455,21.38,58.64,1,Normal,Good,0,0,0,44.68,16.94,57.64,2.0,0.0,0.0,0.486,40.32,21.9,57.2,3.0,0.0,0.0,0.46,-2.83,4.44,1.0,-1.0,-0.031,0.0,-6.33,26.21,1.73,3.368,0.88,2.693,-2.689,0.0
Zone_02,8,Residential,STABLE,12426,92,92.0,38.92,0.423,18.58,60.38,2,Normal,Good,0,0,0,41.85,21.38,58.64,1.0,0.0,0.0,0.455,42.1,22.74,56.46,1.75,0.0,0.0,0.48,-2.93,-2.8,1.74,1.0,-0.032,0.0,-7.0,-13.1,2.97,3.132,-1.232,0.359,-0.05,0.0
Zone_02,9,Residential,STABLE,12426,92,92.0,38.61,0.42,17.41,64.48,1,Normal,Good,0,0,0,38.92,18.58,60.38,2.0,0.0,0.0,0.423,41.23,22.3,55.98,2.0,0.0,0.0,0.471,-0.31,-1.17,4.1,-1.0,-0.003,0.0,-0.8,-6.3,6.79,3.107,-3.669,-0.448,4.03,0.0
Zone_02,10,Residential,STABLE,12426,92,92.0,41.0,0.446,18.52,59.92,1,Normal,Good,0,0,0,38.61,17.41,64.48,1.0,0.0,0.0,0.42,41.02,18.58,60.28,1.5,0.0,0.0,0.446,2.39,1.11,-4.56,0.0,0.026,0.0,6.19,6.38,-7.07,3.3,-0.139,-2.114,2.226,0.0
Zone_02,11,Residential,STABLE,12426,92,92.0,38.34,0.417,17.8,58.23,1,Normal,Good,0,0,0,41.0,18.52,59.92,1.0,0.0,0.0,0.446,40.1,18.97,60.86,1.25,0.0,0.0,0.436,-2.66,-0.72,-1.69,0.0,-0.029,0.0,-6.49,-3.89,-2.82,3.085,-0.975,-0.286,0.794,0.0
Zone_02,12,Residential,STABLE,12426,92,92.0,35.08,0.381,22.13,58.07,3,Normal,Good,0,2,1,38.34,17.8,58.23,1.0,0.0,0.0,0.417,39.22,18.08,60.75,1.25,0.0,0.0,0.426,-3.26,4.33,-0.16,2.0,-0.036,0.0,-8.5,24.33,-0.27,2.823,-0.123,0.065,-1.101,0.0
Zone_02,13,Residential,STABLE,12426,92,92.0,42.51,0.462,22.27,58.17,5,Normal,Good,0,1,1,35.08,22.13,58.07,3.0,2.0,1.0,0.381,38.26,18.96,60.18,1.5,2.0,0.25,0.416,7.43,0.14,0.1,2.0,0.081,2.0,21.18,0.63,0.17,3.421,1.344,-1.325,-2.092,0.3
Zone_02,14,Residential,STABLE,12426,92,92.0,48.1,0.523,25.67,60.1,4,Normal,Good,0,0,0,42.51,22.27,58.17,5.0,1.0,1.0,0.462,39.23,20.18,58.6,2.5,3.0,0.5,0.426,5.59,3.4,1.93,-1.0,0.061,-1.0,13.15,15.27,3.32,3.871,1.558,0.127,-0.541,0.4
Zone_02,15,Residential,STABLE,12426,92,76.18,43.56,0.572,31.91,49.0,5,Light Rain,Moderate,0,0,0,48.1,25.67,60.1,4.0,0.0,0.0,0.523,41.01,21.97,58.64,3.25,3.0,0.5,0.446,-4.54,6.24,-11.1,1.0,0.049,-1.0,-9.44,24.31,-18.47,3.506,2.375,3.671,0.571,0.0
Zone_02,16,Residential,STABLE,12426,92,76.18,46.33,0.608,33.67,44.71,4,Light Rain,Moderate,0,0,0,43.56,31.91,49.0,5.0,0.0,0.0,0.572,42.31,25.5,56.34,4.25,3.0,0.5,0.485,2.77,1.76,-4.29,-1.0,0.036,0.0,6.36,5.52,-8.76,3.728,3.274,3.103,-2.528,-0.4
Zone_02,17,Residential,STABLE,12426,92,92.0,43.25,0.47,20.96,64.0,1,Normal,Good,0,0,0,46.33,33.67,44.71,4.0,0.0,0.0,0.608,45.12,28.38,53.0,4.5,1.0,0.25,0.541,-3.08,-12.71,19.29,-3.0,-0.138,0.0,-6.65,-37.75,43.14,3.481,4.044,0.692,-5.148,-0.3
Zone_02,18,Residential,STABLE,12426,92,92.0,38.59,0.419,21.5,57.89,3,Normal,Good,0,0,0,43.25,20.96,64.0,1.0,0.0,0.0,0.47,45.31,28.05,54.45,3.5,0.0,0.0,0.543,-4.66,0.54,-6.11,2.0,-0.051,0.0,-10.77,2.58,-9.55,3.106,-1.237,-1.178,0.741,0.0
Zone_02,19,Residential,STABLE,12426,92,92.0,27.8,0.302,15.58,59.59,2,Normal,Good,0,0,0,38.59,21.5,57.89,3.0,0.0,0.0,0.419,42.93,27.01,53.9,3.25,0.0,0.0,0.517,-10.79,-5.92,1.7,-1.0,-0.117,0.0,-27.96,-27.53,2.94,2.237,-4.394,-1.799,4.596,0.0
