zone_id,week,zone_type,temporal_profile,population_density,road_capacity,effective_road_capacity,vehicle_density,traffic_pressure,congestion,average_speed,red_light_violations,weather,road_condition,special_event,incident_count,incident_occurred
Zone_10,4,Residential,GRADUAL_DETERIORATION,15099,47,47.0,44.87,0.955,57.73,44.51,6,Normal,Good,0,0,0
Zone_11,4,Residential,RECOVERY_AFTER_DISRUPTION,9955,43,43.0,22.83,0.531,26.31,59.54,5,Normal,Good,0,1,1
Zone_12,4,Commercial_Downtown,GRADUAL_IMPROVEMENT,8725,68,56.3,41.65,0.74,46.89,44.89,7,Light Rain,Moderate,0,0,0
Zone_13,4,Suburban_LowDensity,EVENT_SENSITIVE,1361,75,62.1,1.27,0.02,8.16,55.03,1,Light Rain,Moderate,0,0,0
Zone_14,4,University_District,RECOVERY_AFTER_DISRUPTION,10551,99,99.0,54.07,0.546,25.31,58.37,1,Normal,Good,0,0,0
Zone_15,4,Residential,GRADUAL_DETERIORATION,14863,86,86.0,52.33,0.608,32.76,58.38,5,Normal,Good,0,1,1
Zone_16,4,Highway_Junction,GRADUAL_DETERIORATION,1963,84,69.55,0.0,0.0,7.22,57.25,4,Light Rain,Moderate,0,0,0
Zone_17,4,Residential,EVENT_SENSITIVE,8064,48,48.0,21.95,0.457,26.46,57.78,5,Normal,Good,0,0,0
Zone_18,4,Industrial_Corridor,STABLE,3295,90,90.0,7.08,0.079,11.04,61.04,1,Normal,Good,0,0,0
Zone_19,4,Industrial_Corridor,EVENT_SENSITIVE,4136,81,81.0,26.55,0.328,13.81,64.9,1,Normal,Good,0,0,0
Zone_20,4,Commercial_Downtown,STABLE,3700,73,73.0,19.23,0.263,9.65,64.02,3,Normal,Good,0,1,1
Zone_21,4,Residential,GRADUAL_DETERIORATION,11645,74,74.0,34.64,0.468,17.46,58.85,3,Normal,Good,0,0,0
Zone_22,4,University_District,GRADUAL_DETERIORATION,7570,76,76.0,36.07,0.475,22.54,59.36,2,Normal,Good,0,1,1
Zone_23,4,Suburban_LowDensity,EVENT_SENSITIVE,2228,53,53.0,10.23,0.193,8.24,65.56,1,Normal,Good,0,0,0
Zone_24,4,Commercial_Downtown,GRADUAL_IMPROVEMENT,8634,99,81.97,37.81,0.461,23.36,51.0,10,Light Rain,Moderate,0,0,0
Zone_25,4,Residential,STABLE,10790,71,71.0,32.98,0.465,18.22,62.24,1,Normal,Good,0,0,0
Zone_26,4,University_District,STABLE,7678,75,75.0,27.09,0.361,13.71,61.45,5,Normal,Good,0,0,0
Zone_27,4,Suburban_LowDensity,PERIODIC_SPIKE,4357,81,81.0,13.7,0.169,6.3,64.47,5,Normal,Good,0,0,0
Zone_28,4,Highway_Junction,PERIODIC_SPIKE,1845,83,83.0,2.06,0.025,1.99,66.69,1,Normal,Good,0,0,0
Zone_29,4,Residential,RECOVERY_AFTER_DISRUPTION,13450,94,94.0,36.19,0.385,18.23,59.51,2,Normal,Good,0,0,0
Zone_30,4,Highway_Junction,GRADUAL_DETERIORATION,2448,66,54.65,8.66,0.158,9.55,56.44,3,Light Rain,Moderate,0,0,0
Zone_31,4,Commercial_Downtown,EVENT_SENSITIVE,9364,45,45.0,49.34,1.096,64.51,46.27,8,Normal,Good,0,0,0
Zone_32,4,Commercial_Downtown,GRADUAL_IMPROVEMENT,7248,81,81.0,36.36,0.449,21.41,57.08,3,Normal,Good,0,0,0
Zone_33,4,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,6945,63,63.0,33.1,0.525,19.19,61.13,3,Normal,Good,0,2,1
Zone_34,4,Industrial_Corridor,GRADUAL_DETERIORATION,3320,51,51.0,22.12,0.434,15.03,61.13,4,Normal,Good,0,0,0
Zone_35,4,Residential,GRADUAL_IMPROVEMENT,15280,95,95.0,49.03,0.516,23.05,57.52,4,Normal,Good,0,0,0
Zone_36,4,Residential,PERIODIC_SPIKE,12737,62,62.0,32.77,0.529,22.1,59.71,5,Normal,Good,0,0,0
Zone_37,4,Residential,RECOVERY_AFTER_DISRUPTION,11474,92,92.0,30.85,0.335,9.56,62.18,2,Normal,Good,0,0,0
Zone_38,4,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,9035,94,94.0,45.27,0.482,22.3,59.89,7,Normal,Good,0,0,0
Zone_39,4,Industrial_Corridor,GRADUAL_DETERIORATION,2566,44,44.0,4.28,0.097,2.9,67.41,3,Normal,Good,0,1,1
Zone_40,4,University_District,PERIODIC_SPIKE,7930,55,55.0,39.84,0.724,36.78,56.75,3,Normal,Good,0,0,0
Zone_41,4,Highway_Junction,GRADUAL_DETERIORATION,2549,42,42.0,10.58,0.252,14.11,62.68,5,Normal,Good,0,1,1
Zone_42,4,University_District,PERIODIC_SPIKE,7369,58,58.0,35.55,0.613,31.24,55.99,4,Normal,Good,0,0,0
Zone_43,4,Commercial_Downtown,STABLE,3988,78,78.0,19.83,0.254,16.36,60.41,4,Normal,Good,0,0,0
Zone_44,4,Suburban_LowDensity,STABLE,3720,70,70.0,6.68,0.095,9.71,61.95,1,Normal,Good,0,0,0
Zone_45,4,Highway_Junction,GRADUAL_DETERIORATION,2987,87,87.0,10.94,0.126,8.5,66.3,6,Normal,Good,0,0,0
Zone_46,4,University_District,GRADUAL_IMPROVEMENT,8049,51,51.0,36.55,0.717,36.27,56.28,4,Normal,Good,0,0,0
Zone_47,4,University_District,RECOVERY_AFTER_DISRUPTION,8056,58,58.0,30.66,0.529,27.45,56.8,6,Normal,Good,0,0,0
Zone_48,4,Industrial_Corridor,RECOVERY_AFTER_DISRUPTION,3999,72,72.0,9.89,0.137,8.52,65.56,4,Normal,Good,0,0,0
Zone_49,4,University_District,STABLE,11539,59,59.0,62.19,1.054,66.96,43.72,5,Normal,Good,0,0,0
